expense_id,description,amount,date,paid_to
1,Open wound of ear drum,3508,2/21/2025,'
2,Extradural hemor-no coma,1054,2/11/2025,␢
3,Jt stiffness NEC-shlder,8196,1/13/2025,NIL
4,Hereditary edema of legs,6295,1/14/2025,｀ｨ(´∀｀∩
5,Otorrhea NOS,2075,1/7/2025,"__ﾛ(,_,*)"
6,Mycotic arthritis-up/arm,6572,1/12/2025,../../../../../../../../../../../etc/passwd%00
7,Opn skul vlt fx-brf coma,8133,1/17/2025,１２３
8,Consl partner prob,8213,2/4/2025,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
9,Chr tot occlus cor artry,5846,2/23/2025,部落格
10,Benign neoplasm pleura,9545,2/20/2025,!@#$%^&*()
11,Drug persisting dementia,8246,2/18/2025,和製漢語
12,Chr pyelonephritis NOS,5838,2/25/2025,⁰⁴⁵
13,Chondromalacia,8160,3/3/2025,👩🏽
14,Ventricular fibrillation,6702,3/6/2025,-1/2
15,FB respiratory tree NOS,5204,2/4/2025,-1.00
16,Periostitis NEC,9671,1/24/2025,-1E2
17,Foreign body in nose,3112,3/28/2025,nil
18,Vert fx NOS-cl w crd inj,9347,2/20/2025,사회과학원 어학연구소
19,Benign neo cranial nerve,4878,1/14/2025,-$1.00
20,West equine encephalitis,2566,2/18/2025,-1E02
21,Uterine size descrp-unsp,5519,1/14/2025,-1E02
22,TB lung infiltr-micro dx,4799,1/26/2025,１２３
23,Family hx-kidney malig,3394,1/30/2025,-1E02
24,Oth unspcf nspf imun fnd,8499,3/2/2025,$1.00
25,Trigeminal nerve dis NOS,7519,2/7/2025,ÅÍÎÏ˝ÓÔÒÚÆ☃
26,Caregiving NEC,5948,3/24/2025,部落格
27,Opn wnd scapula w tendon,3692,1/31/2025,1E+02
28,Early complic trauma NEC,7016,3/28/2025,'
29,Opn cerebel lac w/o coma,2635,1/23/2025,１２３
30,Other hyperkinetic synd,6078,3/27/2025,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 
31,Hyperparathyroidism NEC,2438,2/23/2025,NIL
32,Injury cranial nerve NOS,9009,3/23/2025,😍
33,Mnplg lwr lmb nondmnt sd,3722,2/27/2025,(╯°□°）╯︵ ┻━┻)  
34,Infect/parasite dis NOS,5186,1/23/2025,test⁠test‫
35,Respiratory comp NEC,9219,3/21/2025,(｡◕ ∀ ◕｡)
36,Mod intellect disability,2251,3/22/2025,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; }
37,Jt derangement NOS-ankle,9645,1/31/2025,$1.00
38,Puerp comp NOS-del w p/p,2945,1/14/2025,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ
39,Attemp abort w embolism,1134,3/6/2025,田中さんにあげて下さい
40,Extreme immatur 500-749g,5301,1/19/2025,"'""'"
41,Comp-genitourin dev/grft,5801,1/29/2025,␢
42,Patent ductus arteriosus,1229,2/1/2025,"__ﾛ(,_,*)"
43,Dislocat knee NEC-closed,6886,1/22/2025,"""''''""'"""
44,Upper limb anomaly NEC,9028,2/22/2025,""""
45,Cl skul base fx w/o coma,6850,3/22/2025,Œ„´‰ˇÁ¨ˆØ∏”’
46,Adv eff pyrazole deriv,9086,3/27/2025,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙
47,Malignant neopl placenta,4285,3/8/2025,-$1.00
48,Carbuncle of trunk,4661,3/27/2025,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 
49,Aneurysm NEC,6542,1/21/2025,␣
50,T1-t6 fx-cl/ant cord syn,3545,2/23/2025,‪‪test‪
51,Hodg lymph-histio axilla,7794,1/10/2025,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
52,Burn NOS arm-multiple,5003,2/19/2025,사회과학원 어학연구소
53,Hodg nodul sclero spleen,3030,3/28/2025,null
54,Abn amnion NEC aff NB,6908,3/14/2025,<svg><script>0<1>alert('XSS')</script>
55,"Subendo infarct, initial",2200,3/9/2025,œ∑´®†¥¨ˆøπ“‘
56,Sec DM ketoacd uncntrld,5727,1/13/2025,"__ﾛ(,_,*)"
57,Cornea neovasculariz NOS,9865,2/15/2025,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿
58,Ob pyemic embol-unspec,4584,1/3/2025,"""'""'""''''"""
59,Cellulitis of foot,6423,3/11/2025,　
60,Oth powered aircraft acc,2544,1/18/2025,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’"
61,Varicella complicat NEC,3959,2/2/2025,"<>?:""{}|_+"
62,Visible peristalsis,7927,2/25/2025,👩🏽
