payment_id,amount_paid,payment_date,charge_id
1,6187,1/13/2025,14
2,2,2/24/2025,78
3,3,3/6/2025,50
4,4,3/12/2025,7
5,5,2/3/2025,99
6,6,3/29/2025,86
7,7,2/10/2025,1
8,8,1/14/2025,88
9,9,2/19/2025,89
10,10,2/12/2025,58
11,11,1/20/2025,49
12,12,2/18/2025,96
13,13,2/12/2025,60
14,14,1/7/2025,4
15,15,3/10/2025,73
16,16,1/26/2025,36
17,17,1/8/2025,66
18,18,2/14/2025,44
19,19,1/24/2025,4
20,20,2/28/2025,23
21,21,1/4/2025,18
22,22,2/12/2025,44
23,23,3/11/2025,30
24,24,3/22/2025,100
25,25,1/9/2025,70
26,26,3/12/2025,6
27,27,3/20/2025,57
28,28,1/3/2025,73
29,29,1/28/2025,59
30,30,3/24/2025,85
31,31,1/9/2025,63
32,32,2/11/2025,56
33,33,3/21/2025,66
34,34,2/24/2025,9
35,35,3/18/2025,62
36,36,1/16/2025,1
37,37,2/22/2025,95
38,38,2/2/2025,73
39,39,2/7/2025,54
40,40,1/17/2025,35
41,41,2/19/2025,89
42,42,2/7/2025,52
43,43,3/5/2025,1
44,44,2/18/2025,50
45,45,1/6/2025,82
46,46,1/27/2025,74
47,47,2/12/2025,2
48,48,1/4/2025,75
49,49,3/5/2025,95
50,50,3/25/2025,52
