payment_id,amount_paid,payment_date,charge_id
1,6187,1/13/2025,14
2,6988,2/24/2025,78
3,9970,3/6/2025,50
4,8536,3/12/2025,7
5,5727,2/3/2025,99
6,8987,3/29/2025,86
7,1594,2/10/2025,1
8,7439,1/14/2025,88
9,4522,2/19/2025,89
10,5289,2/12/2025,58
11,9023,1/20/2025,49
12,7573,2/18/2025,96
13,3469,2/12/2025,60
14,8744,1/7/2025,4
15,6243,3/10/2025,73
16,5061,1/26/2025,36
17,1971,1/8/2025,66
18,9611,2/14/2025,44
19,8744,1/24/2025,4
20,3114,2/28/2025,23
21,3699,1/4/2025,18
22,9611,2/12/2025,44
23,6330,3/11/2025,30
24,6023,3/22/2025,100
25,9051,1/9/2025,70
26,5458,3/12/2025,6
27,8554,3/20/2025,57
28,6243,1/3/2025,73
29,4503,1/28/2025,59
30,6236,3/24/2025,85
31,6518,1/9/2025,63
32,3153,2/11/2025,56
33,1971,3/21/2025,66
34,7746,2/24/2025,9
35,2837,3/18/2025,62
36,1594,1/16/2025,1
37,5169,2/22/2025,95
38,6243,2/2/2025,73
39,9125,2/7/2025,54
40,4119,1/17/2025,35
41,4522,2/19/2025,89
42,8950,2/7/2025,52
43,1594,3/5/2025,1
44,9970,2/18/2025,50
45,6823,1/6/2025,82
46,6563,1/27/2025,74
47,2315,2/12/2025,2
48,3322,1/4/2025,75
49,5169,3/5/2025,95
50,8950,3/25/2025,52
